drug,total_reports,serious_reports,death_reports,hospitalization_reports,lifethreat_reports
Abemaciclib,19870,10327,1432,4247,389
Afatinib,6587,5697,1464,2084,237
Alectinib,7249,3971,935,1280,70
Axitinib,19365,12808,3907,4995,489
Baricitinib,9585,6653,877,3139,583
Binimetinib,7756,5374,1209,2258,222
Bosutinib,8931,5009,782,1918,150
Cabozantinib,47766,21034,5351,9123,774
Capmatinib,2345,1415,566,391,43
Ceritinib,2378,1935,552,587,81
Cobimetinib,4389,3640,579,2000,182
Crizotinib,12638,9254,3791,3067,366
Dabrafenib,20946,15540,4394,5837,553
Dacomitinib,746,689,329,212,28
Dasatinib,36954,22248,3722,8773,995
Encorafenib,9844,6865,1627,2733,276
Entrectinib,1653,1073,271,350,39
Erlotinib,12441,12175,5762,3882,310
Fedratinib,1322,672,189,258,11
Fostamatinib,7695,2427,463,1695,24
Gefitinib,8975,8505,1951,2576,462
Gilteritinib,3935,3711,1026,1329,178
Ibrutinib,80310,62356,13715,26719,1939
Imatinib,41418,33363,8908,9003,1334
Lapatinib,15427,10556,2474,4010,429
Lenvatinib,32614,28623,4443,19735,1274
Midostaurin,0,0,0,0,0
Momelotinib,1339,885,208,303,30
Neratinib,2294,1353,360,678,30
Nilotinib,29318,21576,5615,6424,890
Nintedanib,31339,21244,6218,10549,786
Osimertinib,31866,29795,13981,6020,813
Palbociclib,94825,50122,10577,14349,1032
Pazopanib,26904,17975,6943,6032,818
Pexidartinib,713,114,11,53,2
Ponatinib,5180,4434,1453,1659,131
Quizartinib,634,401,100,217,18
Regorafenib,11542,10407,2363,4042,362
Ribociclib,31378,25948,4597,7206,1374
Ruxolitinib,71241,34569,9813,13602,1086
Selumetinib,1530,1227,99,289,29
Sorafenib,20646,18384,5080,7774,1022
Sunitinib,39091,30161,11666,11526,1221
Tofacitinib,186746,91116,9652,26629,6475
Trametinib,24023,17462,5130,6535,637
Vandetanib,1795,1201,161,522,69
Vemurafenib,11949,8932,2073,3397,342
