drug,rank_std,rank_mean,median_rank_s_score,median_rank_entropy,median_rank_gini,median_rank_ratio
AC-480,39.479041556529985,33.78333333333333,62.5,13.5,13.5,8.0
ACTB-1003,18.848821065402355,94.71666666666667,95.0,99.0,89.0,100.0
AEE-788,56.89082136474701,106.86666666666666,53.0,107.0,107.0,206.0
AEW-541,43.071326502287654,97.45,61.5,111.0,104.0,160.0
AMG-208,26.79419505954394,31.566666666666666,53.0,13.5,13.5,28.0
AMG-900,29.847594356813563,139.06666666666666,148.0,148.0,124.0,94.0
ARRY-380,77.09441541959372,86.13333333333334,30.0,45.0,209.5,189.0
ASP-3026,27.23806568429965,147.56666666666666,161.0,166.0,159.0,103.0
AT-13148,32.11809804801994,154.66666666666666,168.0,133.0,136.0,197.0
AT-7519,33.762030777520216,170.18333333333334,195.0,180.0,173.0,116.0
AT-9283,19.98391019462074,210.6,221.0,221.0,214.0,190.0
AV-412,31.044077087622075,59.916666666666664,81.0,56.0,48.0,22.0
AZD-1208,38.152748553966894,37.36666666666667,62.5,22.0,21.0,4.0
AZD-1480,53.828420828488824,132.63333333333333,61.5,151.0,150.0,208.0
AZD-2014,56.22972721098888,50.13333333333333,29.5,13.5,13.5,117.0
AZD-4547,31.033498925444352,130.78333333333333,167.5,130.0,122.0,81.0
AZD-5363,57.95989034572865,128.96666666666667,61.5,145.0,139.0,213.0
AZD-5438,40.984973533669084,114.91666666666667,139.0,135.0,126.0,31.0
AZD-7762,19.378137738756585,199.26666666666668,209.5,215.0,209.0,159.0
AZD-8055,90.68781003469479,94.76666666666667,21.0,32.0,214.5,215.0
AZD-8186,40.448255696493135,53.88333333333333,37.0,39.0,35.0,105.0
AZD-8330,37.02371612298738,68.16666666666667,83.5,54.0,47.0,28.0
Abemaciclib,10.999949494833551,192.63333333333333,202.0,193.0,187.0,182.0
Afatinib,36.159308007144645,56.766666666666666,81.0,46.0,39.0,17.0
Alectinib,37.29453340936473,86.86666666666666,61.5,90.0,81.0,140.0
Alisertib,27.001260258653772,109.58333333333333,128.5,125.0,118.0,61.0
Alvocidib,25.04385597750918,166.38333333333333,179.0,170.0,161.0,156.0
Apatinib,15.14930324763779,34.083333333333336,37.0,22.0,22.0,52.0
Apitolisib,30.416374427819846,73.05,81.0,96.0,87.0,72.0
Axitinib,26.973979231021065,122.56666666666666,114.0,145.0,137.0,114.0
BGT-226,49.60972406920062,85.98333333333333,48.0,114.0,108.0,169.0
BI-2536,41.12783593734162,79.96666666666667,53.0,83.0,77.0,149.0
BI-847325,42.33432085462364,173.28333333333333,186.0,202.0,196.0,171.0
BMS-387032,24.497103003325837,173.68333333333334,190.0,182.0,175.0,126.0
