,CDK7,CDK8,CDK9,CHEK1,CLK2,CSF1R,CSNK1A1,DAPK3,DYRK1A,DYRK1B,FGFR1,FLT1,FLT3,FYN,GPRK5,GSK3A,GSK3B,IGF1R,IKBKE,JAK2,JAK3,KDR,LCK,LIMK1,LRRK2,LTK,MAP2K1,MAP2K2,MAP4K2,MAP4K4,MAPK14,MAPK8,MAPK9,MST1R,NEK2,NTRK1,NTRK2,NTRK3,PAK4,PDGFRA,PDGFRB,PIM1,PRKAA1,PRKACA,PRKCN,PRKCQ,PRKX,PTK2,RET,ROCK1,RPS6KA3,STK12,STK6,TAO1,TBK1,TYRO3,CLK4,MET,CDC2L6,ITK,PLK1,PLK4,PIM3,AKT1,AKT2,AKT3,INSR,PLK3,EGFR,ERBB2,FGFR3,KIT,PIM2,PTK6,TYK2,HCK,MAP3K10,ROCK2,SGK,CAMKK2,MAPK10,MARK3,MARK4,MELK,ROS1,SIK2,STK3,BLK,CAMK1,CAMK2D,CAMK2G,CDC42BPA,CDC7,CDK2,CHEK2,CSNK1G1,CSNK1G2,CSNK1G3,HIPK2,IRAK1,IRAK4,MAPK1,MINK,MKNK2,NEK4,PDPK1,PHKG2,PKN2,PRKCD,PRKCG,PRKD2,RPS6KA5,RPS6KB1,SRC,STK17A,STK22B,STK22D,CDC2,CSNK2A1,DYRK3,HIPK4,KIAA1811,MAPKAPK2,PAK1,PRKCI,FRK,MAP4K5,TOPK,FER,SLK,CAMK2B,CSNK1D,DCAMKL1,DYRK4,EPHA2,ERBB4,MAPK12,MAPK13,MAPKAPK3,SRPK1,ZAK,MAPKAPK5,MATK,PRKG1,PRKG2,SRMS,AXL,CHUK,FES,FLT4,LYN,MARK2,PRKCZ,PTK2B,SYK,IKBKB,EEF2K,WEE1,BRAF,BMX,RPS6KA4,STK33,PASK,NLK,ALK,BTK,CAMK1D,CAMK2A,CDK5,ABL1,ACK1,ACVR1
5,6.6,9.1,8.9,6.4,8.1,6.7,7.2,7.1,4.0,8.6,5.7,6.8,7.9,4.0,5.8,7.2,7.3,4.0,6.1,6.7,7.3,6.6,5.9,4.0,8.1,6.6,7.5,7.3,7.4,4.0,4.0,6.6,6.6,7.0,5.2,6.4,6.4,7.1,7.6,6.0,4.0,6.0,6.9,7.5,7.8,7.8,7.2,4.0,5.9,8.1,7.0,6.3,6.1,6.3,6.0,4.0,4.0,4.0,4.0,6.4,6.6,4.0,5.5,5.7,5.3,4.0,6.4,4.0,6.1,4.0,4.0,4.0,6.4,4.0,4.0,4.0,4.0,4.0,6.8,4.0,4.0,7.3,4.0,8.3,6.8,4.0,7.3,4.0,4.0,7.2,7.5,7.5,9.8,7.9,4.0,6.5,6.2,6.2,7.5,7.1,7.4,7.3,8.5,7.4,6.1,6.3,6.7,8.1,7.2,6.7,7.7,4.0,7.0,4.0,7.4,4.0,6.9,7.4,6.8,8.3,6.4,6.0,5.4,5.9,5.6,6.4,7.1,4.0,6.7,6.3,7.0,7.7,4.0,5.5,4.0,4.0,6.8,6.9,4.0,6.0,4.0,6.1,4.0,7.0,6.0,6.1,4.0,4.0,6.1,6.7,6.1,4.0,6.6,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.8,8.0,6.2,5.5,5.9
6,7.3,8.3,4.0,4.0,8.1,6.9,7.8,7.3,7.6,7.8,5.4,4.0,8.2,4.0,6.2,6.4,6.4,4.0,5.6,6.1,6.8,6.1,5.5,4.0,8.7,6.9,7.7,7.5,7.2,7.7,5.7,5.9,5.5,7.2,4.0,4.0,6.1,5.8,7.4,5.9,6.3,6.9,7.4,8.1,8.3,9.1,8.5,4.0,5.7,8.9,7.9,6.6,4.0,4.0,5.7,5.6,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.7,4.0,4.0,4.0,4.0,4.0,8.5,4.0,4.0,7.1,4.0,4.0,6.6,4.0,4.0,9.5,7.5,4.0,4.0,4.0,4.0,7.4,4.0,4.0,4.0,7.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.2,4.0,4.0,6.7,8.5,5.8,5.7,6.2
7,6.2,6.7,6.8,5.8,8.2,4.0,5.4,5.9,4.0,8.4,4.0,4.0,4.0,4.0,5.8,6.2,6.1,4.0,6.0,4.0,4.0,6.4,4.0,4.0,7.0,6.2,6.4,6.2,6.6,7.3,4.0,5.8,4.0,6.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,6.3,7.1,6.4,6.8,6.7,4.0,4.0,6.4,5.8,6.3,4.0,5.7,6.1,4.0,4.0,4.0,4.0,4.0,4.0,7.0,5.9,5.3,4.0,5.2,4.0,4.0,4.0,4.0,4.0,4.0,5.9,4.0,4.0,4.0,4.0,6.1,6.6,4.0,4.0,6.4,4.0,6.1,7.1,4.0,6.3,4.0,4.0,7.1,6.7,5.7,6.5,6.3,4.0,4.0,5.5,5.8,7.4,6.2,4.0,4.0,7.0,7.0,4.0,6.1,6.1,6.7,6.1,5.7,6.6,4.0,6.7,4.0,7.1,4.0,4.0,7.4,5.8,7.0,6.2,6.8,5.7,4.0,5.6,5.8,6.6,6.2,4.0,6.6,6.5,6.2,4.0,6.2,5.8,4.0,5.5,5.6,4.0,4.0,5.3,4.0,4.0,7.9,6.8,4.0,6.2,4.0,4.0,6.2,4.0,6.8,5.8,4.0,6.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.8,6.1,6.3,6.0,4.0,6.2
10,7.6,4.0,7.0,5.1,8.4,6.8,6.7,7.2,8.4,4.0,6.5,6.7,7.4,8.0,4.0,4.0,8.0,4.0,4.0,7.5,8.1,6.0,7.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,6.8,6.3,7.5,5.7,4.0,4.0,6.8,8.4,7.7,6.8,4.0,7.1,4.0,6.7,7.6,4.0,6.5,4.0,6.5,4.0,4.0,4.0,4.0,4.0,6.6,4.0,5.7,6.6,5.4,4.0,5.9,4.0,4.0,6.7,4.0,4.0,4.0,4.0,6.2,6.5,4.0,4.0,8.0,6.4,4.0,4.0,6.8,4.0,6.4,4.0,4.0,4.0,7.3,4.0,7.1,7.0,7.8,4.0,7.7,4.0,7.8,8.2,7.7,7.2,7.3,7.0,6.2,4.0,6.8,4.0,4.0,4.0,8.6,8.1,6.4,6.6,7.8,7.1,7.1,6.8,5.9,6.7,7.6,5.8,7.2,6.4,5.7,5.2,4.0,4.0,7.1,4.0,5.3,6.9,8.0,6.0,7.2,4.0,5.6,4.0,5.8,6.7,6.2,4.0,5.5,6.8,4.0,4.0,6.7,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.5,4.0,4.0,4.0,8.3,6.3,4.0,4.0
14,6.6,9.1,8.9,6.4,8.1,6.7,7.2,7.1,4.0,8.6,5.7,6.8,7.9,4.0,5.8,7.2,7.3,4.0,6.1,6.7,7.3,6.6,5.9,4.0,8.1,6.6,7.5,7.3,7.4,4.0,4.0,6.6,6.6,7.0,5.2,6.4,6.4,7.1,7.6,6.0,4.0,6.0,6.9,7.5,7.8,7.8,7.2,4.0,5.9,8.1,7.0,6.3,6.1,6.3,6.0,4.0,4.0,4.0,4.0,6.4,6.6,4.0,5.5,5.7,5.3,4.0,6.4,4.0,6.1,4.0,4.0,4.0,6.4,4.0,6.0,4.0,4.0,4.0,6.8,4.0,4.0,7.3,4.0,8.3,6.8,4.0,7.3,4.0,4.0,7.2,7.5,7.5,9.8,7.9,4.0,6.5,6.2,6.2,7.5,7.1,7.4,7.3,8.5,7.4,6.1,6.3,6.7,8.1,7.2,6.7,7.7,4.0,7.0,4.0,7.4,4.0,6.9,7.4,6.8,8.3,6.4,6.0,5.4,5.9,5.6,6.4,7.1,5.5,6.7,6.3,7.0,7.7,4.0,5.5,4.0,4.0,6.8,6.9,4.0,6.0,4.0,6.1,4.0,7.0,6.0,6.1,4.0,4.0,6.1,6.7,6.1,4.0,6.6,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.8,8.0,6.2,5.5,5.9
16,4.0,4.0,4.0,4.0,5.8,5.9,4.0,4.0,6.3,4.0,4.0,4.0,6.4,7.0,4.0,6.1,6.1,4.0,4.0,4.0,4.0,4.0,6.3,4.0,4.0,4.0,4.0,4.0,5.2,6.8,4.0,4.0,5.8,4.0,5.2,5.7,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,5.6,4.0,4.0,4.0,4.0,5.4,5.2,4.0,4.0,4.0,4.0,4.0,6.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,6.5,5.1,4.0,4.0,6.0,4.0,5.9,4.0,4.0,6.2,6.6,4.0,5.9,6.1,5.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.3,4.0,5.8,5.8,6.0,4.0,4.0,5.9,4.0,4.0,5.5,4.0,4.0,6.5,5.6,4.0,4.0,5.5,4.0,5.4,4.0,4.0,4.0,4.0,4.0,6.4,6.6,4.0,4.0,5.8,5.9,5.7,5.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.4,4.0,4.0,5.4,7.0,5.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.6,4.0,4.0,5.3,6.6,4.0,4.0
18,4.0,4.0,4.0,5.5,7.4,6.4,4.0,4.0,7.6,4.0,6.0,6.9,7.5,6.4,4.0,7.1,6.8,4.0,4.0,4.0,6.9,6.7,6.1,6.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.4,6.3,4.0,6.0,6.7,5.8,7.7,6.2,4.0,4.0,5.7,6.9,4.0,7.2,4.0,6.3,4.0,4.0,6.9,6.0,6.5,6.5,6.2,4.0,4.0,7.8,4.0,4.0,6.8,4.0,6.6,6.4,4.0,4.0,4.0,5.8,5.3,6.4,4.0,6.7,4.0,4.0,4.0,4.0,4.0,4.0,7.2,6.9,4.0,4.0,7.0,4.0,6.4,6.1,4.0,7.1,5.9,4.0,7.2,7.3,6.1,6.2,6.5,6.4,5.4,5.4,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,6.2,6.7,6.6,4.0,4.0,7.1,5.9,5.9,4.0,6.4,4.0,7.1,7.2,6.3,5.6,4.0,5.9,4.0,4.0,4.0,6.8,4.0,5.4,7.0,7.5,6.4,5.7,4.0,6.6,4.0,4.0,4.0,5.4,4.0,6.1,4.0,4.0,4.0,4.0,4.0,4.0,7.4,4.0,6.3,6.6,6.3,7.1,5.1,6.3,7.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.2,7.3,4.0,4.0
19,4.0,4.0,4.0,4.0,5.8,6.5,5.4,4.0,4.0,4.0,5.4,4.0,7.2,8.5,4.0,6.0,6.3,4.0,4.0,4.0,4.0,5.6,7.9,4.0,4.0,4.0,4.0,4.0,6.7,7.3,4.0,4.0,6.2,4.0,4.0,6.3,5.6,7.5,4.0,4.0,4.0,5.3,5.9,4.0,6.0,4.0,4.0,4.0,4.0,6.1,5.8,5.7,4.0,5.3,4.0,6.2,6.4,4.0,4.0,4.0,5.7,4.0,4.0,4.0,5.1,4.0,4.0,6.2,6.6,4.0,4.0,6.2,4.0,7.1,4.0,4.0,4.0,4.0,6.2,4.0,4.0,6.1,4.0,6.2,5.8,4.0,4.0,7.2,4.0,6.2,6.3,6.0,4.0,5.4,4.0,5.3,5.3,5.2,5.8,5.7,5.9,4.0,6.4,6.1,5.9,4.0,4.0,6.2,4.0,5.1,6.2,4.0,4.0,7.8,5.9,4.0,6.0,5.4,5.9,5.5,5.3,5.3,4.0,4.0,4.0,8.5,6.2,4.0,6.3,6.1,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.4,5.6,6.4,4.0,4.0,4.0,4.0,6.9,6.6,4.0,5.9,5.3,7.5,6.3,4.0,4.0,6.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.9,4.0,4.0,4.0,8.0,4.0,4.0
28,4.0,8.4,4.0,5.4,4.0,4.0,5.8,6.3,7.7,8.1,4.0,6.4,4.0,4.0,4.0,6.1,4.0,4.0,4.0,4.0,4.0,5.6,4.0,4.0,4.0,4.0,6.7,4.0,4.0,6.9,4.0,4.0,5.5,4.0,4.0,5.7,5.7,6.8,4.0,4.0,4.0,4.0,4.0,6.6,4.0,4.0,4.0,4.0,4.0,7.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.9,6.3,4.0,4.0,4.0,4.0,4.0,5.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.9,6.1,4.0,4.0,6.8,4.0,6.5,4.0,4.0,4.0,4.0,4.0,4.0,6.3,6.9,9.3,6.7,4.0,6.9,7.4,7.5,7.0,7.3,6.8,6.4,8.1,7.1,4.0,4.0,4.0,6.6,4.0,6.0,6.7,4.0,5.6,4.0,6.0,4.0,4.0,7.5,6.4,8.1,5.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.4,5.2,5.8,7.2,4.0,6.3,4.0,4.0,5.6,5.9,4.0,6.1,4.0,4.0,4.0,6.1,4.0,4.0,4.0,4.0,4.0,6.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.5,6.9,4.0,4.0,4.0
30,7.0,7.8,8.3,4.0,7.4,6.3,6.6,7.2,7.4,7.6,4.0,4.0,5.8,4.0,6.2,6.1,5.8,4.0,5.6,5.9,5.8,5.9,5.3,4.0,7.8,6.3,6.7,6.5,6.5,7.4,4.0,6.0,4.0,7.1,4.0,4.0,5.8,5.7,7.3,4.0,6.0,6.6,7.1,7.6,7.8,8.1,7.6,4.0,5.6,8.9,7.2,6.1,4.0,4.0,5.7,4.0,8.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.6,4.0,4.0,4.0,4.0,4.0,8.5,4.0,4.0,7.1,4.0,4.0,5.9,4.0,4.0,9.5,7.6,4.0,4.0,4.0,4.0,7.2,4.0,4.0,4.0,7.5,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,6.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.8,4.0,4.0,6.4,8.0,4.0,4.0,5.6
