Abemaciclib: total=19870, serious=10327
Afatinib: total=6587, serious=5697
Alectinib: total=7249, serious=3971
Axitinib: total=19365, serious=12808
Baricitinib: total=9585, serious=6653
Binimetinib: total=7756, serious=5374
Bosutinib: total=8931, serious=5009
Cabozantinib: total=47766, serious=21034
Capmatinib: total=2345, serious=1415
Ceritinib: total=2378, serious=1935
Cobimetinib: total=4389, serious=3640
Crizotinib: total=12638, serious=9254
Dabrafenib: total=20946, serious=15540
Dacomitinib: total=746, serious=689
Dasatinib: total=36954, serious=22248
Encorafenib: total=9844, serious=6865
Entrectinib: total=1653, serious=1073
Erlotinib: total=12441, serious=12175
Fedratinib: total=1322, serious=672
Fostamatinib: total=7695, serious=2427
Gefitinib: total=8975, serious=8505
Gilteritinib: total=3935, serious=3711
Ibrutinib: total=80310, serious=62356
Imatinib: total=41418, serious=33363
Lapatinib: total=15427, serious=10556
Lenvatinib: total=32614, serious=28623
Midostaurin: total=0, serious=0
Momelotinib: total=1339, serious=885
Neratinib: total=2294, serious=1353
Nilotinib: total=29318, serious=21576
Nintedanib: total=31339, serious=21244
Osimertinib: total=31866, serious=29795
Palbociclib: total=94825, serious=50122
Pazopanib: total=26904, serious=17975
Pexidartinib: total=713, serious=114
Ponatinib: total=5180, serious=4434
Quizartinib: total=634, serious=401
Regorafenib: total=11542, serious=10407
Ribociclib: total=31378, serious=25948
Ruxolitinib: total=71241, serious=34569
Selumetinib: total=1530, serious=1227
Sorafenib: total=20646, serious=18384
Sunitinib: total=39091, serious=30161
Tofacitinib: total=186746, serious=91116
Trametinib: total=24023, serious=17462
Vandetanib: total=1795, serious=1201
Vemurafenib: total=11949, serious=8932
Saved faers_counts.csv
