drug,total_reports,serious_rate,death_rate,hosp_rate,median_rank_s_score,median_rank_entropy,median_rank_gini,median_rank_ratio,rank_std,n_active
Abemaciclib,17732,0.5263365666591473,0.0761899390931649,0.22090006767426124,202.0,193.0,187.0,182.0,11.12334881629129,29.0
Afatinib,6517,0.8634340954426883,0.22096056467699862,0.316710142703698,84.0,46.0,39.0,17.0,37.59320269528641,2.0
Alectinib,6973,0.5400831779721784,0.12734834361107128,0.17553420335580094,78.0,90.0,81.0,140.0,37.93977683996925,3.0
Axitinib,18985,0.657150381880432,0.20142217540163287,0.25672899657624443,111.0,145.0,137.0,114.0,20.67257979923056,11.0
Baricitinib,9259,0.6875472513230371,0.09353061885732801,0.32519710551895453,160.0,173.0,164.0,179.0,39.50054851939822,18.0
Binimetinib,7380,0.6873983739837398,0.1565040650406504,0.2869918699186992,46.0,56.0,49.0,44.0,37.81598721293534,2.0
Bosutinib,8764,0.5554541305340027,0.0848927430397079,0.21371519853947968,199.0,202.0,193.0,141.0,30.42055226323151,33.0
Cabozantinib,43277,0.43863946206992166,0.11562723848695612,0.1953924717517388,114.0,140.0,131.0,138.0,37.385142622288996,9.0
Capmatinib,2303,0.6013894919669995,0.24316109422492402,0.1641337386018237,56.0,18.0,12.0,1.0,37.46103160470743,1.0
Ceritinib,2366,0.812764158918005,0.2320371935756551,0.24640743871513102,87.0,92.0,80.0,85.0,19.29447243815354,5.0
Cobimetinib,4304,0.8294609665427509,0.13057620817843865,0.4591078066914498,57.0,47.0,35.0,32.0,20.325162292641657,2.0
Crizotinib,12471,0.7296127014674044,0.29781092133750303,0.24304386175928153,127.0,144.0,134.0,64.0,34.388644766679725,10.0
Dabrafenib,20468,0.7406683603674028,0.21154973617353917,0.27799491889779165,197.0,199.0,193.0,199.0,29.16245683904031,33.0
Dacomitinib,733,0.922237380627558,0.44201909959072305,0.28512960436562074,80.0,64.0,52.0,27.0,26.987013337694275,3.0
Dasatinib,36276,0.5987429705590473,0.10072775388686735,0.23544492226265298,217.0,209.0,202.0,218.0,9.745882321381796,45.0
